"REF_DATE","GEO","DGUID","Time arriving at work (16)","Main mode of commuting (21)","Commuting duration (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ottawa - Gatineau (CMA) 505, Ont./Que.","2021S0503505","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","2976.1.11.7","29.7","","","","1"
"2021","Ottawa - Gatineau (CMA) 505, Ont./Que.","2021S0503505","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","2976.1.12.7","41.1","","","","1"
"2021","Peterborough (CMA) 529, Ont.","2021S0503529","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3292.1.1.7","19.2","","","","1"
"2021","Peterborough (CMA) 529, Ont.","2021S0503529","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3292.1.2.7","19.5","","","","1"
"2021","Peterborough (CMA) 529, Ont.","2021S0503529","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3292.1.11.7","18.2","","","","1"
"2021","Peterborough (CMA) 529, Ont.","2021S0503529","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3292.1.12.7","27.4","","","","1"
"2021","Prince George(CA) 970, B.C.","2021S0504970","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","3323.1.1.7","15.9","","","","1"
"2021","Prince George(CA) 970, B.C.","2021S0504970","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","3323.1.2.7","15.7","","","","1"
"2021","Prince George(CA) 970, B.C.","2021S0504970","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","3323.1.11.7","19.7","","","","1"
"2021","Prince George(CA) 970, B.C.","2021S0504970","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","3323.1.12.7","27.2","","","","1"
